"id","messengerId","messengerName","unixTime","messageType","latitude","longitude","modelId","showCustomMsg","dateTime","messageDetail","batteryState","hidden","messageContent"
"529200165","0-2857133","Steve's Spot","1459012032","UNLIMITED-TRACK","35.22291","-120.69342","SPOT3","N",2016-03-26,"","GOOD","0",NA
"529197740","0-2857133","Steve's Spot","1459011737","UNLIMITED-TRACK","35.22529","-120.69321","SPOT3","N",2016-03-26,"","GOOD","0",NA
"529195332","0-2857133","Steve's Spot","1459011438","UNLIMITED-TRACK","35.22622","-120.69278","SPOT3","N",2016-03-26,"","GOOD","0",NA
"529193003","0-2857133","Steve's Spot","1459011140","UNLIMITED-TRACK","35.22797","-120.69559","SPOT3","N",2016-03-26,"","GOOD","0",NA
"529190658","0-2857133","Steve's Spot","1459010841","UNLIMITED-TRACK","35.22874","-120.69859","SPOT3","N",2016-03-26,"","GOOD","0",NA
"529190701","0-2857133","Steve's Spot","1459010541","UNLIMITED-TRACK","35.23011","-120.70031","SPOT3","N",2016-03-26,"","GOOD","0",NA
"529185530","0-2857133","Steve's Spot","1459010196","UNLIMITED-TRACK","35.23003","-120.70073","SPOT3","N",2016-03-26,"","GOOD","0",NA
"529183188","0-2857133","Steve's Spot","1459009897","UNLIMITED-TRACK","35.22998","-120.70081","SPOT3","N",2016-03-26,"","GOOD","0",NA
"529183224","0-2857133","Steve's Spot","1459009597","UNLIMITED-TRACK","35.22998","-120.70081","SPOT3","N",2016-03-26,"","GOOD","0",NA
"529183225","0-2857133","Steve's Spot","1459009297","UNLIMITED-TRACK","35.22998","-120.70081","SPOT3","N",2016-03-26,"","GOOD","0",NA
"529176330","0-2857133","Steve's Spot","1459009004","UNLIMITED-TRACK","35.22946","-120.7003","SPOT3","N",2016-03-26,"","GOOD","0",NA
"529173773","0-2857133","Steve's Spot","1459008702","UNLIMITED-TRACK","35.2284","-120.70082","SPOT3","N",2016-03-26,"","GOOD","0",NA
"529173817","0-2857133","Steve's Spot","1459008402","UNLIMITED-TRACK","35.22595","-120.70151","SPOT3","N",2016-03-26,"","GOOD","0",NA
"529169420","0-2857133","Steve's Spot","1459008104","UNLIMITED-TRACK","35.22541","-120.69951","SPOT3","N",2016-03-26,"","GOOD","0",NA
"529167232","0-2857133","Steve's Spot","1459007808","UNLIMITED-TRACK","35.22546","-120.69701","SPOT3","N",2016-03-26,"","GOOD","0",NA
"529164858","0-2857133","Steve's Spot","1459007506","UNLIMITED-TRACK","35.22486","-120.69511","SPOT3","N",2016-03-26,"","GOOD","0",NA
"529164495","0-2857133","Steve's Spot","1459007458","OK","35.22486","-120.69484","SPOT3","N",2016-03-26,"","GOOD","0","At camp spot; PM - at camp for night; AM - leaving camp for day."
"529162479","0-2857133","Steve's Spot","1459007210","UNLIMITED-TRACK","35.22439","-120.69354","SPOT3","N",2016-03-26,"","GOOD","0",NA
"529160824","0-2857133","Steve's Spot","1459007022","UNLIMITED-TRACK","35.22318","-120.69351","SPOT3","N",2016-03-26,"","GOOD","0",NA
"531023528","0-2857133","Steve's Spot","1459355998","UNLIMITED-TRACK","35.02409","-120.50812","SPOT3","N",2016-03-30,"","GOOD","0",NA
"531021200","0-2857133","Steve's Spot","1459355700","UNLIMITED-TRACK","35.02404","-120.50812","SPOT3","N",2016-03-30,"","GOOD","0",NA
