Milepoint,elevation_feet,DataPoint,Section,State_Prefix,State
0,2915,Mexican Border,A1,Southern,California
0.3,2810,San Diego Gas &amp; Electriccross a dirt road,A1,Southern,California
0.6,2710,Cross another dirt road,A1,Southern,California
0.7,2710,Cross Forrest Gate Road,A1,Southern,California
1.3,2600,Three old concrete steps next to Forrest Gate Road,A1,Southern,California
2.3,2475,PCT-posted crossing of Hwy 94,A1,Southern,California
2.9,2475,San Diego &amp; Arizona Eastern Railroad tracks,A1,Southern,California
4.3,2380,Creeklet winter and early spring,A1,Southern,California
5.5,2550,Reach poor jeep road,A2,Southern,California
9.2,3350,Pipe gate to little used road,A2,Southern,California
9.4,3400,Another jeep road,A2,Southern,California
11.3,3345,Cross east-descending jeep road,A2,Southern,California
11.8,3400,Viewpoint of Hauser Mountain,A3,Southern,California
14.5,2910,South Boundary Road I 7SO8,A3,Southern,California
15.3,2810,Junction with a 1988 vintage trail segment,A3,Southern,California
16,2320,Cross Hauser Creekwinter and early spring,A3,Southern,California
17.4,3210,Saddle southeast of Morena Butte,A3,Southern,California
17.6,3150,Leave jeep trail,A3,Southern,California
18.6,3495,Viewpoint north over the southern Laguna Mountains,A3,Southern,California
18.9,3390,Jeep road in a saddle,A3,Southern,California
20.6,3065,Corner of Lake Morena Drive and Lakeshore Drive,A3,Southern,California
22,3220,Ridgetop,A3,Southern,California
24.6,3065,Bridge over Cottonwood Creek winter and early spring,A5,Southern,California
26,3105,Cottonwood Creek winter and early spring,A5,Southern,California
26.4,3170,Boulder Oaks Campground,A5,Southern,California
26.5,3165,Boulder Oaks Road,A5,Southern,California
26.8,3150,Grassy plain,A5,Southern,California
30.6,3990,Kitchen Creek Road,A5,Southern,California
32.4,4205,Fred Canyon creek usually dry,A6,Southern,California
33,4410,Fred Canyon Road 16SO8,A6,Southern,California
37,5230,Long Canyon,A6,Southern,California
38.1,5435,Long Canyon Creek ford,A6,Southern,California
39.1,5900,Second road crossing,A6,Southern,California
40.2,6005,Morris Ranch Road,A6,Southern,California
40.9,5825,Cross road next to La Posta Creek,A7,Southern,California
41.6,5950,South boundary of Burnt Rancheria Campground,A7,Southern,California
42.3,5970,Spur to Burnt Rancheria Campground,A7,Southern,California
43,5980,Paved road leading to Stephenson Peak,A7,Southern,California
43.6,5895,Second paved road,A7,Southern,California
45.5,5900,Saddle where some jeep roads terminate,A7,Southern,California
46.4,5715,Flathead Flats,A8,Southern,California
47.9,5440,Dirt spur descending from highway junction to LagunaEl Prado Campground,A8,Southern,California
48,5430,Dirt road that descends to Oasis Spring,A8,Southern,California
48.9,5440,G.A.T.R. Road faucet southwest across Highway Sl at Penny Pines,A8,Southern,California
49.4,5562,Barren Saddle,A8,Southern,California
51,5495,Saddle west of Garnet Peak,A8,Southern,California
52.7,5260,Pioneer Mail Trailhead Picnic Area late spring and summer,A8,Southern,California
53.4,5450,Kwaaymii Point Road,A8,Southern,California
54.8,5250,Jeep road down to Oriflamme Canyon,A8,Southern,California
57.7,4875,Another jeep road down to Oriflamme Canyon,A9,Southern,California
59,5060,Second ridgetop,A9,Southern,California
61.1,4770,Faint jeep track above Oriflamme Canyon,A9,Southern,California
62.2,4690,Mason Valley Truck Trail,A10,Southern,California
63.5,3860,Upper Chariot Canyon by a road junction water 0.6ni through 1.8m N,A10,Southern,California
63.8,4075,Mason Valley cutoff road,A10,Southern,California
66.4,4240,Cross a gap,A10,Southern,California
68.4,3650,Cross Rodriguez Spur Truck Trail water 0.9m through 1.3m W,A10,Southern,California
71.6,3390,Rocky gap on Granite Mountains north ridge,A11,Southern,California
73.5,3130,Another gap,A11,Southern,California
76.4,2245,Reach Highway S2,A11,Southern,California
77.2,2275,Cross Highway S2,A11,Southern,California
77.4,2250,Cattle gate next to concrete bridge next to San Felipe Creek,A11,Southern,California
77.6,2252,Cross Highway 78 San Felipe Creek may be contaminated,A11,Southern,California
86.1,3360,Pipe gate pass the crest of San Felipe Hills,A12,Southern,California
86.7,3210,Dry sandy wash,A12,Southern,California
88.3,3600,Ridgecrest,A12,Southern,California
90.4,3485,Junction with an east-branching jeep road,A12,Southern,California
91.2,3550,Poor jeep road beyond a pipe gate,A12,Southern,California
93.9,4155,Cattle gate,A13,Southern,California
95.8,4395,Veer northeast through a gap,A13,Southern,California
101.4,3475,Barrel Spring,A13,Southern,California
101.5,3445,Montezuma Valley Road S22,A13,Southern,California
103.6,3285,PCT post marking the crossing of a jeep road,A13,Southern,California
105.2,3355,San Ysidro Creek,A13,Southern,California
106.3,3495,Cross a good dirt road,A14,Southern,California
107.7,3510,Cross ridgetop jeep road,A14,Southern,California
109.6,3040,Bridge of two-lane Highway 79,A14,Southern,California
110.3,2960,Recrossing jeep road,B1,Southern,California
110.9,2910,Cross Agua Caliente Creek usually dry,B1,Southern,California
111.1,2925,Privately operated campground,B1,Southern,California
111.4,2930,Bridge under Highway 79,B1,Southern,California
112,2960,Old jeep trail,B1,Southern,California
112.2,2965,Junction with a dirt road,B1,Southern,California
112.5,2975,Large campsite end of dirt road,B1,Southern,California
115.1,3195,Aqua Caliente Creek,B2,Southern,California
116.1,3520,Switchback in a side canyon,B2,Southern,California
118.5,4170,Lost Valley Road,B2,Southern,California
119.5,4450,Spur road pass Lost Valley Road,B2,Southern,California
122.5,4945,Drop east to a saddle,B2,Southern,California
127.1,5050,Chihuahua Valley Road,B3,Southern,California
129,5595,Combs Peak,B3,Southern,California
131.2,4710,Tule Canyon,B3,Southern,California
132.1,4675,Junction with old temporary PCT,B3,Southern,California
134.2,4110,Dirt road at the Anza-Borrego Desert State Park boundary,B4,Southern,California
136.2,3590,Tule Canyon Creek,B4,Southern,California
136.6,3640,Tule Canyon Road,B4,Southern,California
139.3,3500,Coyote Canyon Road,B4,Southern,California
139.8,3350,Nance Canyon seasonal creeklet early spring,B4,Southern,California
141.9,4185,Chamise-covered gap,B4,Southern,California
142.7,4075,Sandy jeep road,B4,Southern,California
146.5,4910,Table Mountains shoulder,B5,Southern,California
147.7,4540,Alkali Wash,B5,Southern,California
150.8,5070,Low pass across the flanks of Lookout Mountain,B5,Southern,California
151.3,4919,Pines-to-Palms Highway 74,B5,Southern,California
155,5040,Penrod Canyon creek usually dry,B6,Southern,California
157,5700,Road 6SOl A,B6,Southern,California
